"Date","Price","Open","High","Low","Vol.","Change %"
"08/04/2020","2.74","2.75","2.78","2.70","439.86K","0.00%"
"07/29/2020","2.74","2.76","2.78","2.70","214.99K","-3.18%"
"07/28/2020","2.83","2.90","2.90","2.75","559.35K","-4.71%"
"07/27/2020","2.97","2.91","3.06","2.86","1.04M","0.00%"
"07/26/2020","2.97","2.88","3.04","2.88","421.78K","-1.89%"
"07/22/2020","3.03","3.08","3.12","2.97","812.60K","4.21%"
"07/21/2020","2.90","2.77","2.98","2.75","2.22M","7.23%"
"07/20/2020","2.71","2.62","2.77","2.62","72.71K","0.00%"
"07/19/2020","2.71","2.77","2.83","2.56","78.43K","-2.06%"
"07/16/2020","2.77","2.82","2.83","2.66","532.39K","3.04%"
"07/15/2020","2.68","2.85","3.01","2.50","908.68K","-3.52%"
"07/14/2020","2.78","2.79","2.90","2.73","321.10K","-4.21%"
"07/13/2020","2.90","2.99","3.02","2.81","905.54K","-3.26%"
"07/12/2020","3.00","3.10","3.10","2.93","955.85K","3.66%"
"07/09/2020","2.90","2.74","2.93","2.69","1.68M","8.56%"
"07/08/2020","2.67","2.69","2.77","2.61","680.21K","0.00%"
"07/07/2020","2.67","2.57","2.76","2.57","551.78K","6.17%"
"07/06/2020","2.51","2.45","2.53","2.37","303.00K","9.22%"
"06/30/2020","2.30","2.31","2.42","2.28","67.19K","-1.74%"
"06/29/2020","2.34","2.44","2.44","2.44","0.06K","0.00%"
"06/28/2020","2.34","2.34","2.36","2.34","3.04K","0.00%"
"06/25/2020","2.34","2.37","2.39","2.30","50.87K","-2.05%"
"06/24/2020","2.39","2.41","2.43","2.37","28.70K","0.00%"
"06/23/2020","2.39","2.38","2.45","2.37","28.62K","-2.98%"
"06/22/2020","2.46","2.52","2.57","2.37","24.80K","0.33%"
"06/21/2020","2.46","2.48","2.49","2.44","92.55K","-1.63%"
"06/18/2020","2.50","2.49","2.57","2.41","44.16K","-0.65%"
"06/16/2020","2.51","2.49","2.53","2.45","201.97K","1.65%"
"06/15/2020","2.47","2.45","2.53","2.41","343.57K","2.02%"
"06/14/2020","2.42","2.45","2.45","2.39","28.80K","-3.26%"
"06/11/2020","2.50","2.47","2.56","2.46","133.58K","0.99%"
"06/10/2020","2.48","2.49","2.51","2.45","33.92K","-1.62%"
"06/08/2020","2.52","2.53","2.57","2.45","70.60K","0.65%"
"06/07/2020","2.50","2.44","2.53","2.37","157.84K","3.72%"
"06/03/2020","2.41","2.41","2.42","2.41","93.83K","9.63%"
"05/21/2020","2.20","2.28","2.28","2.28","2.45K","0.00%"
"05/20/2020","2.20","2.21","2.21","2.20","40.45K","-10.00%"
"05/19/2020","2.45","2.23","2.28","2.21","10.22K","0.00%"
"05/13/2020","2.45","2.33","2.33","2.33","12.26K","0.00%"
"05/12/2020","2.45","2.33","2.33","2.33","0.31K","0.00%"
"05/11/2020","2.45","2.33","2.33","2.33","0.06K","0.00%"
"05/10/2020","2.45","2.28","2.28","2.28","1.23K","0.00%"
"05/07/2020","2.45","2.33","2.60","2.33","9.75K","0.00%"
"05/06/2020","2.45","2.45","2.45","2.45","0.91K","0.00%"
"05/05/2020","2.45","2.45","2.45","2.45","3.06K","0.00%"
"05/04/2020","2.45","2.45","2.45","2.45","24.52K","3.45%"
"05/03/2020","2.37","2.39","2.39","2.37","39.84K","-9.37%"
"04/30/2020","2.61","2.61","2.61","2.61","64.35K","6.67%"
"04/29/2020","2.45","2.52","2.52","2.38","19.34K","0.00%"
"04/28/2020","2.45","2.44","2.45","2.44","80.09K","0.33%"
"04/27/2020","2.44","2.38","2.45","2.33","159.83K","-0.33%"
"04/26/2020","2.45","2.41","2.45","2.41","121.04K","4.17%"
"04/23/2020","2.35","2.17","2.17","2.16","0.88K","0.00%"
"04/16/2020","2.35","2.28","2.28","2.18","6.71K","0.00%"
"04/15/2020","2.35","2.35","2.35","2.35","15.32K","-1.71%"
"04/14/2020","2.39","2.28","2.42","2.28","30.00K","4.64%"
"04/13/2020","2.28","2.28","2.28","2.28","18.39K","0.00%"
"04/12/2020","2.28","2.28","2.29","2.28","50.60K","0.00%"
"04/09/2020","2.28","2.45","2.45","2.24","66.00K","0.72%"
"04/06/2020","2.27","2.26","2.27","2.26","50.56K","9.88%"
"04/05/2020","2.06","2.15","2.16","2.15","10.65K","0.00%"
"04/02/2020","2.06","2.08","2.08","2.08","8.93K","0.00%"
"04/01/2020","2.06","1.89","1.89","1.88","3.38K","0.00%"
"03/31/2020","2.06","2.08","2.08","2.08","7.60K","0.00%"
"03/30/2020","2.06","2.08","2.08","2.08","6.13K","0.00%"
"03/29/2020","2.06","2.04","2.04","2.04","2.89K","0.00%"
"03/26/2020","2.06","2.08","2.10","2.04","21.33K","1.61%"
"03/25/2020","2.03","2.04","2.04","2.04","0.68K","0.00%"
"03/24/2020","2.03","2.04","2.06","2.02","89.54K","-9.45%"
"03/23/2020","2.24","2.23","2.26","2.23","20.84K","4.17%"
"03/22/2020","2.15","2.15","2.15","2.15","0.05K","0.00%"
"03/19/2020","2.15","2.15","2.15","2.15","99.61K","-9.90%"
"03/18/2020","2.39","2.37","2.37","2.15","6.17K","0.00%"
"03/17/2020","2.39","2.40","2.40","2.16","12.87K","0.00%"
"03/16/2020","2.39","2.15","2.15","2.15","0.13K","0.00%"
"03/10/2020","2.39","2.45","2.45","2.37","37.08K","1.03%"
"03/09/2020","2.37","2.37","2.37","2.36","42.31K","-9.66%"
"03/08/2020","2.62","2.47","2.47","2.45","7.35K","0.00%"
"03/05/2020","2.62","2.53","2.61","2.47","8.17K","0.00%"
"03/04/2020","2.62","2.65","2.65","2.65","0.25K","0.00%"
"03/03/2020","2.62","2.61","2.65","2.61","15.87K","2.56%"
"03/02/2020","2.55","2.64","2.64","2.46","12.26K","5.03%"
"03/01/2020","2.43","2.42","2.43","2.42","41.12K","-9.70%"
"02/26/2020","2.69","2.86","2.86","2.86","0.01K","0.00%"
"02/25/2020","2.69","2.70","2.70","2.69","18.61K","0.00%"
"02/24/2020","2.69","2.70","2.70","2.69","18.39K","-5.71%"
"02/23/2020","2.86","2.78","2.81","2.78","5.33K","0.00%"
"02/19/2020","2.86","2.81","2.98","2.81","5.56K","0.00%"
"02/18/2020","2.86","2.94","2.94","2.86","20.54K","-2.78%"
"02/17/2020","2.94","2.99","3.22","2.99","7.35K","0.00%"
"02/16/2020","2.94","2.93","2.94","2.93","12.26K","0.00%"
"02/13/2020","2.94","2.94","2.94","2.94","0.04K","0.00%"
"02/09/2020","2.94","2.94","2.94","2.94","61.29K","0.00%"
"02/06/2020","2.94","2.92","2.92","2.92","1.38K","0.00%"
"02/05/2020","2.94","2.90","2.90","2.90","2.91K","0.00%"
"02/04/2020","2.94","2.93","2.94","2.79","6.74K","0.00%"
"02/03/2020","2.94","2.93","2.93","2.93","0.00K","0.00%"
"02/02/2020","2.94","2.94","2.94","2.94","6.13K","0.00%"
"01/30/2020","2.94","2.94","2.94","2.93","12.26K","2.27%"
"01/29/2020","2.87","2.86","2.86","2.77","9.29K","0.00%"
"01/28/2020","2.87","2.86","2.86","2.86","3.06K","0.00%"
"01/27/2020","2.87","2.95","2.95","2.71","3.68K","0.00%"
"01/23/2020","2.87","2.87","2.95","2.86","13.52K","0.57%"
"01/22/2020","2.86","2.86","2.86","2.86","12.26K","1.74%"
"01/21/2020","2.81","2.69","2.86","2.69","12.87K","-2.27%"
"01/20/2020","2.87","2.75","2.75","2.75","4.92K","0.00%"
"01/19/2020","2.87","2.86","2.86","2.86","1.53K","0.00%"
"01/16/2020","2.87","2.86","2.86","2.86","3.06K","0.00%"
"01/15/2020","2.87","2.80","2.80","2.80","1.84K","0.00%"
"01/14/2020","2.87","2.84","2.90","2.84","11.03K","2.03%"
"01/13/2020","2.81","2.83","2.83","2.77","38.68K","1.17%"
"01/12/2020","2.78","2.81","2.83","2.81","7.98K","0.00%"
"01/09/2020","2.78","2.77","2.81","2.77","44.84K","0.00%"
"01/08/2020","2.78","2.78","2.78","2.78","13.26K","3.33%"
"01/06/2020","2.69","2.61","2.81","2.61","18.08K","0.61%"
"01/05/2020","2.68","2.63","2.69","2.61","88.04K","-1.50%"
"01/02/2020","2.72","2.78","2.83","2.78","9.81K","0.00%"
"12/31/2019","2.72","2.69","2.75","2.69","84.89K","2.46%"
"12/30/2019","2.65","2.65","2.65","2.65","6.13K","0.00%"
"12/29/2019","2.65","2.65","2.65","2.65","7.35K","0.00%"
"12/26/2019","2.65","2.69","2.69","2.68","8.65K","0.00%"
"12/22/2019","2.65","2.58","2.58","2.58","2.57K","0.00%"
"12/19/2019","2.65","2.63","2.67","2.62","19.46K","-1.81%"
"12/18/2019","2.70","2.69","2.69","2.69","3.92K","0.00%"
"12/17/2019","2.70","2.74","2.74","2.73","2.09K","0.00%"
"12/16/2019","2.70","2.66","2.77","2.65","47.61K","1.85%"
"12/15/2019","2.65","2.73","2.73","2.68","10.79K","0.00%"
"12/12/2019","2.65","2.61","2.71","2.56","252.20K","2.20%"
"12/11/2019","2.59","2.59","2.61","2.55","210.80K","4.61%"
"12/10/2019","2.48","2.64","2.67","2.45","95.76K","-4.40%"
"12/09/2019","2.59","2.49","2.61","2.49","120.61K","5.30%"
"12/08/2019","2.46","2.65","2.65","2.65","0.06K","0.00%"
"12/05/2019","2.46","2.43","2.43","2.43","4.90K","0.00%"
"12/03/2019","2.46","2.39","2.39","2.39","1.23K","0.00%"
"12/01/2019","2.46","2.41","2.41","2.41","0.33K","0.00%"
"11/28/2019","2.46","2.45","2.45","2.45","3.63K","0.00%"
"11/26/2019","2.46","2.41","2.41","2.41","6.36K","0.00%"
"11/25/2019","2.46","2.46","2.46","2.44","9.62K","0.00%"
"11/24/2019","2.46","2.47","2.47","2.46","18.39K","-0.33%"
"11/21/2019","2.47","2.58","2.58","2.47","12.13K","1.00%"
"11/20/2019","2.45","2.45","2.46","2.45","26.84K","-5.96%"
"11/19/2019","2.60","2.46","2.46","2.45","9.84K","0.00%"
"11/14/2019","2.60","2.60","2.60","2.60","1.21K","0.00%"
"11/13/2019","2.60","2.61","2.61","2.59","12.26K","0.63%"
"11/12/2019","2.59","2.45","2.61","2.41","36.00K","3.59%"
"11/11/2019","2.50","2.49","2.57","2.49","283.16K","5.15%"
"11/07/2019","2.37","2.37","2.49","2.37","2.55K","0.00%"
"11/06/2019","2.37","2.38","2.45","2.37","6.27K","0.00%"
"11/05/2019","2.37","2.38","2.38","2.35","19.61K","0.00%"
"11/04/2019","2.37","2.45","2.56","2.31","84.82K","-3.32%"
"11/03/2019","2.46","2.47","2.47","2.44","47.00K","-0.33%"
"10/30/2019","2.46","2.47","2.54","2.46","211.94K","0.00%"
"10/28/2019","2.46","2.49","2.49","2.46","4.31K","0.00%"
"10/22/2019","2.46","2.50","2.50","2.46","2.95K","0.00%"
"10/16/2019","2.46","2.69","2.69","2.63","3.06K","0.00%"
"10/13/2019","2.46","2.47","2.47","2.46","12.26K","-9.31%"
"10/09/2019","2.72","2.81","2.81","2.81","0.72K","0.00%"
"10/01/2019","2.72","2.70","2.86","2.70","23.78K","-9.26%"
"09/30/2019","2.99","2.99","3.03","2.99","12.26K","8.58%"
"09/29/2019","2.76","2.76","2.76","2.76","12.26K","9.74%"
"09/26/2019","2.51","2.56","2.56","2.56","3.68K","0.00%"
"09/25/2019","2.51","2.45","2.56","2.45","12.26K","6.21%"
"09/24/2019","2.37","2.37","2.37","2.37","14.69K","-0.34%"
"09/23/2019","2.37","2.50","2.50","2.37","24.21K","3.56%"
"09/22/2019","2.29","2.51","2.51","2.28","18.93K","-8.47%"
"09/19/2019","2.50","2.50","2.65","2.50","143.42K","0.00%"
"09/17/2019","2.50","2.59","2.59","2.47","16.96K","-2.54%"
"09/16/2019","2.57","2.57","2.58","2.57","2.77K","0.00%"
"09/12/2019","2.57","2.62","2.62","2.57","15.13K","-1.87%"
"09/11/2019","2.62","2.68","2.68","2.62","29.25K","0.00%"
"09/10/2019","2.62","2.55","2.55","2.53","3.05K","0.00%"
"09/09/2019","2.62","2.58","2.58","2.55","2.21K","0.00%"
"09/08/2019","2.62","2.69","2.69","2.57","37.07K","0.63%"
"09/05/2019","2.60","2.61","2.61","2.59","22.06K","-5.90%"
"09/04/2019","2.77","2.61","2.61","2.57","7.67K","0.00%"
"09/03/2019","2.77","2.74","2.75","2.61","5.16K","0.00%"
"09/01/2019","2.77","2.69","2.69","2.62","7.89K","0.00%"
"08/29/2019","2.77","2.69","2.69","2.65","5.69K","0.00%"
"08/28/2019","2.77","2.77","2.77","2.73","12.56K","3.67%"
"08/26/2019","2.67","2.67","2.67","2.59","6.50K","0.00%"
"08/25/2019","2.67","2.92","2.94","2.63","25.39K","-2.68%"
"08/22/2019","2.74","2.72","2.77","2.72","48.80K","-1.18%"
"08/21/2019","2.77","2.72","2.72","2.72","1.17K","0.00%"
"08/20/2019","2.77","2.77","2.78","2.72","10.28K","0.00%"
"08/19/2019","2.77","2.77","2.77","2.77","24.52K","0.29%"
"08/18/2019","2.77","2.94","2.94","2.72","11.03K","-2.59%"
"08/15/2019","2.84","2.72","2.86","2.72","6.60K","0.00%"
"08/14/2019","2.84","2.78","2.90","2.78","21.22K","4.19%"
"08/08/2019","2.72","2.69","2.75","2.48","46.65K","8.74%"
"08/07/2019","2.51","2.51","2.52","2.51","9.33K","0.00%"
"08/06/2019","2.51","2.51","2.51","2.51","1.85M","0.00%"
"08/04/2019","2.51","2.51","2.51","2.51","9.77K","0.00%"
"08/01/2019","2.51","2.51","2.51","2.51","11.52M","-4.00%"
"07/30/2019","2.61","2.65","2.65","2.55","13.50K","-0.79%"
"07/29/2019","2.63","2.65","2.74","2.58","19.50K","0.00%"
"07/28/2019","2.63","2.65","2.65","2.63","0.85K","0.00%"
"07/25/2019","2.63","2.63","2.64","2.63","11.49K","2.16%"
"07/24/2019","2.58","2.51","2.51","2.51","1.44K","0.00%"
"07/22/2019","2.58","2.58","2.62","2.58","16.95K","-1.86%"
"07/21/2019","2.62","2.58","2.58","2.48","8.62K","0.00%"
"07/18/2019","2.62","2.64","2.64","2.60","17.24K","0.80%"
"07/17/2019","2.60","2.62","2.62","2.58","17.67K","-0.80%"
"07/16/2019","2.62","2.63","2.63","2.61","11.49K","-0.26%"
"07/15/2019","2.63","2.64","2.64","2.63","17.24K","-0.26%"
"07/11/2019","2.64","2.65","2.65","2.63","14.37K","-0.26%"
